Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,l_id,w_id
1985,154,1437,96,1455,84,N,1,1455_1985,1437_1985
1986,154,1443,101,1462,87,N,1,1462_1986,1443_1986
1987,154,1462,113,1462,97,N,1,1462_1987,1462_1987
1988,154,1437,123,1462,115,N,1,1462_1988,1437_1988
1989,154,1452,124,1462,101,N,1,1462_1989,1452_1989
1990,154,1462,149,1462,115,N,1,1462_1990,1462_1990
1991,154,1462,117,1462,90,N,1,1462_1991,1462_1991
1992,154,1431,106,1452,103,N,1,1452_1992,1431_1992
1993,154,1462,112,1462,84,N,1,1462_1993,1462_1993
1994,154,1458,112,1458,102,N,1,1458_1994,1458_1994
1995,154,1451,113,1462,96,N,3,1462_1995,1451_1995
1996,154,1448,110,1453,90,N,1,1453_1996,1448_1996
1997,154,1462,109,1462,92,N,1,1462_1997,1462_1997
1998,154,1452,110,1462,87,N,1,1462_1998,1452_1998
1999,154,1451,108,1458,88,N,1,1458_1999,1451_1999
2000,154,1458,105,1458,80,N,2,1458_2000,1458_2000
2001,154,1429,101,1462,85,N,1,1462_2001,1429_2001
2002,154,1462,105,1462,101,N,2,1462_2002,1462_2002
2003,154,1462,108,1462,95,N,2,1462_2003,1462_2003
2004,154,1462,102,1462,100,N,2,1462_2004,1462_2004
2005,154,1458,111,1458,105,N,2,1458_2005,1458_2005
2006,154,1455,98,1462,92,N,2,1462_2006,1455_2006
2007,154,1462,121,1462,86,N,2,1462_2007,1462_2007
2008,154,1462,113,1462,99,N,1,1462_2008,1462_2008
2009,154,1462,103,1462,91,N,2,1462_2009,1462_2009
2010,154,1462,101,1462,96,N,2,1462_2010,1462_2010
2011,154,1458,102,1462,87,N,2,1462_2011,1458_2011
2012,154,1462,102,1462,90,N,1,1462_2012,1462_2012
2013,154,1455,95,1458,85,N,1,1458_2013,1455_2013
2014,154,1458,93,1462,85,N,1,1462_2014,1458_2014
2015,154,1462,94,1462,90,N,1,1462_2015,1462_2015
2016,154,1463,105,1463,88,N,2,1463_2016,1463_2016
2017,154,1462,103,1462,91,N,1,1462_2017,1462_2017
